                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38139,                0.81539,                 1.5456,                0.93944,                0.93048,                    0.6,                0.76858,                0.74372,                0.93048,                    0.6,                0.76837,                0.76033,                0.28349,                0.26214,                 2.1572,                0.89134,                0.00028,                0.00028,                0.00028
                      2,                0.57439,                 0.8027,                  2.679,                 1.0852,                0.53571,                      1,                 0.6092,                0.38714,                0.53571,                      1,                 0.6092,                0.49025,                0.84998,                0.75902,                 39.185,                 1.6151,             0.00057282,             0.00057282,             0.00057282
                      3,                0.89467,                 1.2171,                 3.1402,                 1.2243,                0.81818,                    0.3,                0.66028,                0.28313,                      1,                0.36667,                0.80744,                0.63639,                 2.0354,                 1.8862,                  16.11,                 2.5696,             0.00085822,             0.00085822,             0.00085822
                      4,                 1.1102,                  1.852,                 3.0574,                 1.3706,                0.92857,                0.43333,                0.65791,                0.39811,                0.85714,                    0.4,                0.57025,                0.36072,                 1.4768,                 6.1246,                 35.676,                 2.0648,              0.0011362,              0.0011362,              0.0011362
                      5,                 1.1798,                 1.9512,                 3.8916,                 1.4534,                0.92857,                0.43333,                0.65791,                0.39811,                0.85714,                    0.4,                0.57025,                0.36072,                 1.4768,                 6.1246,                 35.676,                 2.0648,              0.0014067,              0.0014067,              0.0014067
                      6,                  1.785,                  2.815,                 3.4447,                 1.9352,                0.00059,                0.03333,                0.00031,                  8e-05,                0.00059,                0.03333,                0.00038,                0.00019,                 3.6614,                 11.843,                 372.02,                 4.9654,              0.0016699,              0.0016699,              0.0016699
                      7,                  1.999,                 3.8034,                 3.1415,                 2.1038,                0.00059,                0.03333,                0.00031,                  8e-05,                0.00059,                0.03333,                0.00038,                0.00019,                 3.6614,                 11.843,                 372.02,                 4.9654,              0.0018515,              0.0018515,              0.0018515
                      8,                 2.1291,                 3.6168,                 4.3439,                 2.1741,                 0.0057,                0.43333,                0.00547,                0.00245,                0.00394,                    0.3,                0.00462,                0.00121,                 2.4089,                 20.422,                 2084.6,                  4.434,              0.0018515,              0.0018515,              0.0018515
                      9,                 2.8002,                 5.7873,                 7.4508,                 2.8743,                 0.0057,                0.43333,                0.00547,                0.00245,                0.00394,                    0.3,                0.00462,                0.00121,                 2.4089,                 20.422,                 2084.6,                  4.434,              0.0018267,              0.0018267,              0.0018267
                     10,                 2.8255,                 4.7754,                 5.5277,                 2.8316,                0.00427,                0.03333,                0.00072,                  8e-05,                      0,                      0,                      0,                      0,                 4.6364,                 8.9066,                 324.23,                 6.0751,               0.001802,               0.001802,               0.001802
                     11,                 2.3687,                 3.7863,                 3.2212,                 2.4806,                0.00427,                0.03333,                0.00072,                  8e-05,                      0,                      0,                      0,                      0,                 4.6364,                 8.9066,                 324.23,                 6.0751,              0.0017772,              0.0017772,              0.0017772
                     12,                 2.6781,                 4.2883,                 3.6914,                 2.7266,                0.00067,                    0.2,                 0.0004,                0.00012,                0.00033,                    0.1,                0.00018,                  2e-05,                  2.648,                 16.318,                 4083.7,                 3.9537,              0.0017525,              0.0017525,              0.0017525
                     13,                 2.4426,                 5.1665,                 3.8469,                 2.6067,                0.00067,                    0.2,                 0.0004,                0.00012,                0.00033,                    0.1,                0.00018,                  2e-05,                  2.648,                 16.318,                 4083.7,                 3.9537,              0.0017278,              0.0017278,              0.0017278
                     14,                 2.5792,                 3.9425,                 3.5969,                 2.7196,                0.02872,                0.36667,                0.02145,                0.00487,                0.03133,                    0.4,                0.02082,                0.00308,                 3.6132,                 371.36,                 305.39,                 25.691,               0.001703,               0.001703,               0.001703
                     15,                 2.2752,                 3.9092,                 2.9333,                 2.5246,                0.02872,                0.36667,                0.02145,                0.00487,                0.03133,                    0.4,                0.02082,                0.00308,                 3.6132,                 371.36,                 305.39,                 25.691,              0.0016783,              0.0016783,              0.0016783
                     16,                  2.378,                 3.2873,                 2.8118,                 2.5322,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,              0.0016535,              0.0016535,              0.0016535
                     17,                 2.2111,                 2.7935,                 2.7361,                  2.387,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,              0.0016287,              0.0016287,              0.0016287
                     18,                 2.2045,                 2.6497,                  2.556,                 2.3657,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,               0.001604,               0.001604,               0.001604
                     19,                    2.5,                 2.9629,                 2.9418,                 2.7763,                0.00373,                0.03333,                0.00036,                  7e-05,                0.00074,                0.06667,                0.00041,                  4e-05,                 5.4774,                 5506.1,                 92.256,                 166.64,              0.0015793,              0.0015793,              0.0015793
                     20,                 2.5077,                 3.4877,                 2.9285,                 2.7803,                0.00373,                0.03333,                0.00036,                  7e-05,                0.00074,                0.06667,                0.00041,                  4e-05,                 5.4774,                 5506.1,                 92.256,                 166.64,              0.0015545,              0.0015545,              0.0015545
                     21,                 2.7864,                 3.2961,                 2.9745,                 2.8527,                0.01308,                0.23333,                0.00685,                0.00117,                0.00935,                0.16667,                0.00481,                0.00086,                 4.0723,                 608.65,                 463.67,                 57.962,              0.0015298,              0.0015298,              0.0015298
                     22,                 2.8338,                  3.398,                 2.9062,                 2.9539,                0.01308,                0.23333,                0.00685,                0.00117,                0.00935,                0.16667,                0.00481,                0.00086,                 4.0723,                 608.65,                 463.67,                 57.962,               0.001505,               0.001505,               0.001505
                     23,                 2.9484,                 3.5406,                  2.913,                 2.9797,                0.03088,                0.43333,                0.01989,                0.00536,                0.02138,                    0.3,                 0.0103,                 0.0031,                 3.2546,                  136.8,                 357.24,                 23.277,              0.0014803,              0.0014803,              0.0014803
